objID,ra,dec,z,zErr,photoz,photozErr,u,g,r,i,zmag,err_u,err_g,err_r,err_i,err_z
1237662474227875907,236.77206,36.45703,0.5018908,0.0001607773,0.486072,0.045986,25.76938,23.10641,20.54271,19.60433,19.34967,1.293321,0.4226012,0.06298635,0.03799536,0.1293976
1237662474227876385,236.71002,36.484736,0.4535521,8.663747E-05,0.425395,0.025514,21.88181,21.05942,19.15036,18.401,18.02767,0.3842921,0.07668829,0.02183458,0.01595614,0.04647136
1237662474227876417,236.73444,36.491459,0.6468362,0.0001416343,0.555685,0.042283,24.64377,22.33921,20.69615,19.66753,19.39346,1.569834,0.1586234,0.05409261,0.03069531,0.09944721
1237662474227941402,236.82987,36.408512,0.2395236,3.642193E-05,0.235028,0.014014,21.75397,19.31601,17.90597,17.38578,17.07191,0.3108034,0.01697634,0.008246375,0.007287277,0.01950193
1237662503218839645,236.2503,36.110351,0.06285614,1.643013E-05,0.090177,0.016148,19.123,17.25316,16.33084,15.89612,15.5071,0.04770134,0.005853832,0.004216209,0.00423703,0.008292923
1237662503218839929,236.18899,36.075565,0.06958701,1.670241E-05,0.080678,0.013084,19.02979,17.01421,16.04149,15.55343,15.17687,0.03925908,0.004676641,0.003450278,0.003394436,0.006071528
1237662503218905405,236.36477,36.013185,0.06695418,1.629629E-05,0.085775,0.008625,19.02289,17.0349,16.0908,15.65115,15.28769,0.03809519,0.00466666,0.003480315,0.003455298,0.00645871
1237662503218906017,236.37397,35.988282,0.3358997,9.264205E-05,0.365526,0.023351,23.75038,21.52581,19.59163,18.95215,18.59521,1.296074,0.08737589,0.02445754,0.02164648,0.05669085
1237662503218970960,236.42599,35.854213,0.3183938,5.495023E-05,0.299596,0.01929,22.34075,19.97463,18.36688,17.80358,17.44054,0.5296866,0.02947869,0.01169429,0.01099207,0.02660029
1237662503219036357,236.62267,35.791443,0.07924994,1.389654E-05,0.088954,0.008161,19.02173,17.04624,16.10498,15.68003,15.35099,0.03505991,0.004550055,0.003417689,0.003425527,0.006289179
1237662503219036362,236.6965,35.871439,0.2358079,3.778536E-05,0.229552,0.016067,22.64149,19.23735,17.83785,17.32545,16.97938,0.7375314,0.01747438,0.008440945,0.00816033,0.01911478
1237662503755711320,236.57463,36.423673,0.6352435,0.000186835,0.572826,0.034366,22.72631,21.94099,20.31678,19.20086,18.68169,0.9328863,0.2086671,0.07216542,0.04058173,0.1070754
1237662503755776563,236.59677,36.404626,0.4644834,0.0001204146,0.493298,0.027637,25.8359,21.8158,20.18515,19.31556,18.71856,0.8980417,0.1046853,0.03761026,0.02660609,0.06227737
1237662503755776626,236.55593,36.315261,0.5729738,0.0001389531,0.576784,0.046813,25.17012,21.28323,20.11867,19.06467,18.63274,2.019838,0.09537942,0.05096978,0.03140217,0.08653465
1237662503755776849,236.65296,36.262743,0.5693281,0.0001232941,0.518987,0.031873,26.22571,22.50179,20.62181,19.72094,19.18699,0.4601785,0.1336243,0.04007789,0.02798842,0.06826357
1237661465986072942,235.76341,35.987408,0.342946,7.139439E-05,0.330888,0.028269,25.35299,20.76202,19.05039,18.44708,18.00078,1.215403,0.03800042,0.0146075,0.01308484,0.02869043
1237661465986073180,235.80125,36.126529,0.3663255,4.708208E-05,0.411664,0.098216,23.62962,21.52006,20.27248,19.5425,19.17108,1.038876,0.06936335,0.04069242,0.02976618,0.0749229
1237661465986073762,235.78864,36.057056,0.6302019,0.0001968667,0.612014,0.037612,21.55894,22.43482,20.43924,19.25477,18.79212,0.2977707,0.2445462,0.06612816,0.03640518,0.08626314
1237661465986138518,235.90255,35.937721,0.3239838,5.317837E-05,0.328377,0.020749,22.62073,20.71744,19.03641,18.43161,18.10749,0.4418661,0.03503545,0.01393579,0.0125148,0.02941974
1237661465986138526,235.9621,35.962666,0.3009989,4.897879E-05,0.299027,0.015271,22.11968,19.99097,18.36655,17.77176,17.40633,0.3855267,0.02499193,0.01053364,0.009607184,0.0215082
1237661465986138767,235.91545,35.993147,0.4497595,5.005692E-05,0.305855,0.041602,22.15892,20.88599,19.44911,18.89066,18.51937,0.3757044,0.04996901,0.02213575,0.02066044,0.05256129
1237661465986139150,236.04415,35.959891,0.4091612,9.625652E-05,0.391421,0.03018,26.22873,21.4443,19.63261,18.94717,18.53798,0.6772045,0.06936132,0.02312904,0.01961893,0.04538728
